year,name,sumrelig,pop,religions,relpop
1975,GUY,755465,781000,chrstgen,419635
1980,GUY,751100,759000,chrstgen,418500
1985,GUY,784000,793000,chrstgen,438000
1990,GUY,719460,720000,chrstgen,303900
1995,GUY,727613,735000,chrstgen,367200
2000,GUY,738016,750000,chrstgen,430500
2005,GUY,751598,758000,chrstgen,429477
2010,GUY,764647,767501,chrstgen,427919
1975,SUR,358899,364000,chrstgen,216774
1980,SUR,328800,355000,chrstgen,218450
1985,SUR,361000,384000,chrstgen,241000
1990,SUR,401831,402000,chrstgen,235351
1995,SUR,407675,409000,chrstgen,225995
2000,SUR,416562,417000,chrstgen,234934
2005,SUR,491640,499000,chrstgen,274703
2010,SUR,565990,566000,chrstgen,271680
1945,ECU,2502000,2780000,chrstgen,2502000
1950,ECU,2903000,3225000,chrstgen,2903000
1955,ECU,3554658,3862000,chrstgen,3554658
1960,ECU,4106886,4439000,chrstgen,4106886
1965,ECU,4854560,5144000,chrstgen,4854560
1970,ECU,5917727,5970000,chrstgen,5871027
1975,ECU,6464010,6907000,chrstgen,6464010
1980,ECU,7704507,7961000,chrstgen,7662642
1985,ECU,9002200,9330000,chrstgen,8948500
1990,ECU,9930700,10264000,chrstgen,9874700
1995,ECU,8978500,9330000,chrstgen,8978500
2000,ECU,12460077,12646000,chrstgen,11477020
2005,ECU,13249755,13250000,chrstgen,12136581
2010,ECU,14084784,14209151,chrstgen,12830327
1945,PER,6857825,7290000,chrstgen,6779700
1950,PER,7868000,7969000,chrstgen,7668000
1955,PER,8295818,8790000,chrstgen,8170818
1960,PER,9761000,9931000,chrstgen,9561000
1965,PER,11021650,11467000,chrstgen,11021650
1970,PER,13119007,13193000,chrstgen,13001607
1975,PER,14659450,15161000,chrstgen,14552950
1980,PER,17223802,17324000,chrstgen,17048745
1985,PER,19165080,19492000,chrstgen,19003080
1990,PER,21546800,21569000,chrstgen,21346550
1995,PER,23484119,23532000,chrstgen,23290887
2000,PER,24062963,25662000,chrstgen,23532720
2005,PER,27635971,27811000,chrstgen,26698560
2010,PER,28834986,29402646,chrstgen,27579681
1945,BRA,46132220,46215000,chrstgen,45845588
1950,BRA,49426237,51944000,chrstgen,49349737
1955,BRA,55951241,60640000,chrstgen,55564014
1960,BRA,71104720,72594000,chrstgen,70935420
1965,BRA,81022623,84292000,chrstgen,80576608
1970,BRA,95270013,95847000,chrstgen,94526013
1975,BRA,107894993,108032000,chrstgen,106775993
1980,BRA,118521504,118563000,chrstgen,117027504
1985,BRA,129071456,131978000,chrstgen,129071456
1990,BRA,139254083,144724000,chrstgen,138033011
1995,BRA,153067317,155822000,chrstgen,151406004
2000,BRA,163770436,170115000,chrstgen,146447175
2005,BRA,176658254,183383000,chrstgen,157380092
2010,BRA,189546075,190755800,chrstgen,168313010
1945,BOL,2558000,2850000,chrstgen,2558000
1950,BOL,2604980,2714000,chrstgen,2604980
1955,BOL,3093159,3100000,chrstgen,3093159
1960,BOL,3166695,3351000,chrstgen,3166695
1965,BOL,3541860,3748000,chrstgen,3541860
1970,BOL,4114102,4212000,chrstgen,4001400
1975,BOL,4750010,4759000,chrstgen,4672010
1980,BOL,5328300,5355000,chrstgen,5292850
1985,BOL,5792700,5895000,chrstgen,5728400
1990,BOL,6550820,6573000,chrstgen,6272300
1995,BOL,7380880,7414000,chrstgen,7300880
2000,BOL,8058211,8329000,chrstgen,7842641
2005,BOL,9362167,9427000,chrstgen,9033088
2010,BOL,10301001,10312315,chrstgen,9720100
1945,PAR,1121187,1250000,chrstgen,1121187
1950,PAR,1260070,1371000,chrstgen,1260070
1955,PAR,1539791,1687000,chrstgen,1539791
1960,PAR,1739655,1842000,chrstgen,1739655
1965,PAR,1939520,2081000,chrstgen,1939520
1970,PAR,2279691,2350000,chrstgen,2232000
1975,PAR,2627145,2659000,chrstgen,2585900
1980,PAR,3067900,3114000,chrstgen,3033100
1985,PAR,3459000,3609000,chrstgen,3435000
1990,PAR,4207446,4219000,chrstgen,4142546
1995,PAR,4624128,4828000,chrstgen,4624128
2000,PAR,5493781,5496000,chrstgen,5329016
2005,PAR,5606204,5899000,chrstgen,5367889
2010,PAR,6389510,6455292,chrstgen,6138983
1945,CHL,5148592,5540000,chrstgen,5094592
1950,CHL,5654000,6091000,chrstgen,5554000
1955,CHL,6368676,6743000,chrstgen,6362928
1960,CHL,7478800,7614000,chrstgen,7478800
1965,CHL,8040827,8579000,chrstgen,8040827
1970,CHL,9375831,9504000,chrstgen,8929331
1975,CHL,10029200,10350000,chrstgen,9651000
1980,CHL,11021192,11145000,chrstgen,10471712
1985,CHL,11392242,12122000,chrstgen,11354910
1990,CHL,12821650,13100000,chrstgen,12353325
1995,CHL,13585000,14210000,chrstgen,13585000
2000,CHL,14820202,15211000,chrstgen,14197856
2005,CHL,15741211,16267000,chrstgen,14273550
2010,CHL,16792414,17077416,chrstgen,15587652
1945,ARG,15399926,15400000,chrstgen,15150266
1950,ARG,16698713,17150000,chrstgen,16191000
1955,ARG,18155042,19961000,chrstgen,18155042
1960,ARG,20023840,20616000,chrstgen,19623840
1965,ARG,21936446,22283000,chrstgen,21420596
1970,ARG,23849053,23963000,chrstgen,23217353
1975,ARG,25696370,26049000,chrstgen,25007040
1980,ARG,27103077,28094000,chrstgen,26417319
1985,ARG,28897918,30305000,chrstgen,28044812
1990,ARG,30841626,32527000,chrstgen,29470753
1995,ARG,33551920,34768000,chrstgen,31986560
2000,ARG,35615068,37032000,chrstgen,33280506
2005,ARG,38326116,38592000,chrstgen,32627326
2010,ARG,40179460,40399992,chrstgen,34400709
1945,URU,1496200,2080000,chrstgen,1413000
1950,URU,1622520,2196000,chrstgen,1580920
1955,URU,1804660,2367000,chrstgen,1783860
1960,URU,1986800,2538000,chrstgen,1986800
1965,URU,1986810,2693000,chrstgen,1986810
1970,URU,2228090,2808000,chrstgen,2172390
1975,URU,2290800,2829000,chrstgen,2118674
