year,name,sumrelig,pop,religions,relpop
2010,ERI,5218672,5234450,bahgen,1419
1975,ANG,6113649,6123000,bahgen,450
1980,ANG,7014414,7019000,bahgen,600
1985,ANG,7999503,8003000,bahgen,800
1990,ANG,9974171,10020000,bahgen,1000
1995,ANG,10656412,10816000,bahgen,1195
2000,ANG,12197136,12878000,bahgen,1391
2005,ANG,16574433,16618000,bahgen,1811
2010,ANG,19029459,19114176,bahgen,2064
1975,MZM,9079823,9119000,bahgen,1000
1980,MZM,12101846,12103000,bahgen,1400
1985,MZM,13818883,13868000,bahgen,1800
1990,MZM,14096577,14151000,bahgen,2200
1995,MZM,17116417,17423000,bahgen,2310
2000,MZM,19407081,19680000,bahgen,2421
2005,MZM,19179212,19420000,bahgen,2389
2010,MZM,21746798,21841850,bahgen,2686
1965,ZAM,3694993,3695000,bahgen,8388
1970,ZAM,4237396,4238000,bahgen,10553
1975,ZAM,4892030,4893000,bahgen,13276
1980,ZAM,5736025,5738000,bahgen,16000
1985,ZAM,6649517,6725000,bahgen,68000
1990,ZAM,7689207,8073000,bahgen,120000
1995,ZAM,7731369,8081000,bahgen,144355
2000,ZAM,9161836,9169000,bahgen,150000
2005,ZAM,11433872,11441000,bahgen,135000
2010,ZAM,13022522,13039656,bahgen,145000
1965,ZIM,4432187,4475000,bahgen,8003
1970,ZIM,5295183,5310000,bahgen,9877
1975,ZIM,6222577,6280000,bahgen,12188
1980,ZIM,7082894,7096000,bahgen,14500
1985,ZIM,8293249,8379000,bahgen,21750
1990,ZIM,9136630,9369000,bahgen,29000
1995,ZIM,11175708,11526000,bahgen,32995
2000,ZIM,10984865,11669000,bahgen,33000
2005,ZIM,11935097,12372000,bahgen,20000
2010,ZIM,12105955,12165294,bahgen,25200
1965,MAW,3904448,3908000,bahgen,7217
1970,MAW,4605626,4606000,bahgen,8521
1975,MAW,5207799,5236000,bahgen,10060
1980,MAW,6031703,6046000,bahgen,11600
1985,MAW,6991195,7059000,bahgen,13733
1990,MAW,8199458,8289000,bahgen,15867
1995,MAW,9487989,9788000,bahgen,21564
2000,MAW,10133303,10925000,bahgen,25128
2005,MAW,12250169,12341000,bahgen,30235
2010,MAW,14454268,14460699,bahgen,35428
1945,SAF,11242873,11265000,bahgen,0
1950,SAF,13308545,13310000,bahgen,10
1955,SAF,14843484,14911000,bahgen,3825
1960,SAF,17067861,17122000,bahgen,7641
1965,SAF,19593526,19607000,bahgen,11456
1970,SAF,22444724,22458000,bahgen,15271
1975,SAF,25668754,25669000,bahgen,19135
1980,SAF,29155353,29170000,bahgen,23000
1985,SAF,32994475,33043000,bahgen,15500
1990,SAF,37011296,37066000,bahgen,11750
1995,SAF,41137550,41244000,bahgen,0
2000,SAF,39915088,40377000,bahgen,10000
2005,SAF,46973479,47335000,bahgen,15500
2010,SAF,49591874,50022088,bahgen,21000
1990,NAM,1350000,1352000,bahgen,6500
1995,NAM,1528986,1536000,bahgen,7409
2000,NAM,1709372,1726000,bahgen,8319
2005,NAM,1947728,1957000,bahgen,0
2010,NAM,2141053,2144764,bahgen,2500
1970,LES,1063925,1064000,bahgen,8959
1975,LES,1182877,1187000,bahgen,9829
1980,LES,1337500,1339000,bahgen,10700
1985,LES,1498895,1503000,bahgen,12550
1990,LES,1777980,1783000,bahgen,14400
1995,LES,2009716,2027000,bahgen,16716
2000,LES,2147825,2153000,bahgen,19033
2005,LES,1956593,1995000,bahgen,5200
2010,LES,2087864,2094896,bahgen,800
1970,BOT,596930,597000,bahgen,2931
1975,BOT,709639,712000,bahgen,3765
1980,BOT,878210,894000,bahgen,4600
1985,BOT,1087961,1088000,bahgen,7000
1990,BOT,1291810,1300000,bahgen,9400
1995,BOT,1437300,1456000,bahgen,11431
2000,BOT,1612898,1622000,bahgen,1950
2005,BOT,1704113,1708000,bahgen,2500
2010,BOT,1777598,1807515,bahgen,3450
1970,SWA,418996,419000,bahgen,6576
1975,SWA,477922,479000,bahgen,5682
1980,SWA,548648,550000,bahgen,4788
1985,SWA,637944,638000,bahgen,3894
1990,SWA,765810,769000,bahgen,3000
1995,SWA,904544,908000,bahgen,3512
2000,SWA,1006419,1008000,bahgen,4536
2005,SWA,1122562,1126000,bahgen,5157
2010,SWA,1216670,1220594,bahgen,5493
1960,MAG,5359519,5367000,bahgen,3071
1965,MAG,6063997,6080000,bahgen,3587
1970,MAG,6859956,6860000,bahgen,4191
1975,MAG,7752378,7778000,bahgen,4895
1980,MAG,9071980,9072000,bahgen,5600
1985,MAG,9943710,9985000,bahgen,8800
1990,MAG,11117490,11197000,bahgen,12000
1995,MAG,14872278,14874000,bahgen,12783
2000,MAG,15888537,15942000,bahgen,10500
2005,MAG,17684682,17730000,bahgen,11300
2010,MAG,20535170,20538780,bahgen,15200
1975,COM,312571,316000,bahgen,366
1980,COM,381572,383000,bahgen,390
1985,COM,446123,448000,bahgen,415
1990,COM,521280,523000,bahgen,440
1995,COM,610805,612000,bahgen,525
2000,COM,692798,694000,bahgen,611
2005,COM,599835,600000,bahgen,506
2010,COM,679828,679961,bahgen,599
1970,MAS,828883,829000,bahgen,6516
1975,MAS,890842,892000,bahgen,8008
1980,MAS,965910,966000,bahgen,9500
1985,MAS,1016850,1021000,bahgen,13750
1990,MAS,1057550,1059000,bahgen,18000
1995,MAS,1106390,1122000,bahgen,19943
2000,MAS,1156382,1158000,bahgen,819
2005,MAS,1241089,1243000,bahgen,744
2010,MAS,1280028,1280511,bahgen,668
1980,SEY,62902,63000,bahgen,210
1985,SEY,64723,65000,bahgen,225
1990,SEY,69815,70000,bahgen,240
1995,SEY,74833,75000,bahgen,344
2000,SEY,76538,77000,bahgen,233
2005,SEY,81528,83000,bahgen,377
2010,SEY,86526,86617,bahgen,522
1955,MOR,10541980,10542000,bahgen,0
1960,MOR,11590110,11637000,bahgen,0
1965,MOR,13110937,13194000,bahgen,0
1970,MOR,14887489,14973000,bahgen,0
1975,MOR,16983100,17006000,bahgen,0
1980,MOR,19313080,19332000,bahgen,3200
1985,MOR,21748394,21836000,bahgen,3000
1990,MOR,24399445,24487000,bahgen,11800
1995,MOR,26116205,26386000,bahgen,0
2000,MOR,28032800,28351000,bahgen,0
2005,MOR,30149828,30172000,bahgen,0
2010,MOR,31753775,31776052,bahgen,0
1965,ALG,11279838,11923000,bahgen,0
1970,ALG,13721300,13746000,bahgen,350
1975,ALG,15963610,16018000,bahgen,425
1980,ALG,18573952,18666000,bahgen,500
1985,ALG,21694210,21850000,bahgen,0
1990,ALG,24997000,25022000,bahgen,2000
1995,ALG,27217500,28060000,bahgen,0
2000,ALG,31059573,31471000,bahgen,561
2005,ALG,32840714,32906000,bahgen,0
2010,ALG,35594990,35666324,bahgen,0
1955,TUN,3775390,3929000,bahgen,0
1960,TUN,4212792,4221000,bahgen,0
1965,TUN,4604937,4630000,bahgen,0
1970,TUN,5125990,5126000,bahgen,0
1975,TUN,5386008,5611000,bahgen,86
1980,TUN,6467191,6566000,bahgen,173
1985,TUN,7237112,7261000,bahgen,0
1990,TUN,8151450,8154000,bahgen,750
1995,TUN,8919210,8958000,bahgen,0
2000,TUN,9515946,9586000,bahgen,0
2005,TUN,9955710,10029000,bahgen,0
2010,TUN,10482352,10548997,bahgen,0
1950,LIB,986766,1020000,bahgen,0
1955,LIB,1109650,1126000,bahgen,0
1960,LIB,1159000,1300000,bahgen,0
1965,LIB,1518784,1567000,bahgen,0
1970,LIB,1825000,1855000,bahgen,0
1975,LIB,2166945,2230000,bahgen,0
1980,LIB,2675000,2743000,bahgen,300
1985,LIB,3361490,3374000,bahgen,0
1990,LIB,4137778,4151000,bahgen,133
1995,LIB,5248323,5407000,bahgen,0
2000,LIB,5605000,5605000,bahgen,0
2005,LIB,5863770,5923000,bahgen,0
2010,LIB,6506106,6509106,bahgen,0
1960,SUD,11144000,11165000,bahgen,0
1965,SUD,12226576,12359000,bahgen,0
1970,SUD,13734020,13859000,bahgen,0
1975,SUD,15341340,15726000,bahgen,0
1980,SUD,18639515,18681000,bahgen,0
1985,SUD,22074767,22109000,bahgen,0
1990,SUD,25015633,25752000,bahgen,1450
1995,SUD,26706659,26707000,bahgen,0
2000,SUD,29453371,29490000,bahgen,0
2005,SUD,34785090,35397000,bahgen,0
2010,SUD,39782745,40125232,bahgen,0
1945,IRN,15175000,15215000,bahgen,0
1950,IRN,15757849,16276000,bahgen,172960
1955,IRN,18148248,18325000,bahgen,0
1960,IRN,21034000,21439000,bahgen,200000
1965,IRN,25432060,25789000,bahgen,16666
1970,IRN,28109733,28705000,bahgen,95683
1975,IRN,32802617,32818000,bahgen,0
1980,IRN,38615800,39291000,bahgen,340000
1985,IRN,47052000,47820000,bahgen,0
1990,IRN,53996496,54496000,bahgen,136666
1995,IRN,66973494,68365000,bahgen,273460
2000,IRN,67555970,67702000,bahgen,107500
2005,IRN,69250700,69500000,bahgen,103000
2010,IRN,74023524,74073560,bahgen,300000
1945,TUR,18683574,18729000,bahgen,0
1950,TUR,20613150,20770000,bahgen,0
1955,TUR,23843444,23853000,bahgen,0
1960,TUR,27495259,27506000,bahgen,0
1965,TUR,31033004,31149000,bahgen,0
1970,TUR,35209483,35321000,bahgen,0
1975,TUR,39776489,40026000,bahgen,1250
1980,TUR,44343500,44439000,bahgen,2500
1985,TUR,48971370,50306000,bahgen,3000
1990,TUR,56041432,56098000,bahgen,14600
1995,TUR,61515879,61644000,bahgen,0
2000,TUR,66226568,66591000,bahgen,10000
2005,TUR,71775554,72065000,bahgen,10000
2010,TUR,76418971,76787632,bahgen,0
1945,IRQ,4589575,4611000,bahgen,0
1950,IRQ,5108394,5198000,bahgen,0
1955,IRQ,5538208,5961000,bahgen,0
1960,IRQ,6269178,6885000,bahgen,0
1965,IRQ,8017918,8047000,bahgen,961
1970,IRQ,9378199,9440000,bahgen,0
1975,IRQ,11081570,11124000,bahgen,116
1980,IRQ,13164509,13238000,bahgen,233
1985,IRQ,15398189,15585000,bahgen,0
1990,IRQ,17841310,18078000,bahgen,2000
1995,IRQ,19993495,20095000,bahgen,0
2000,IRQ,22854550,23115000,bahgen,0
2005,IRQ,27823185,27963000,bahgen,0
2010,IRQ,31160000,31800000,bahgen,0
1945,EGY,18359909,18460000,bahgen,0
1950,EGY,20141180,20461000,bahgen,0
1955,EGY,22948090,22990000,bahgen,0
1960,EGY,25755000,26085000,bahgen,0
1965,EGY,29326348,29389000,bahgen,0
1970,EGY,32873495,33053000,bahgen,0
1975,EGY,36983303,36997000,bahgen,0
1980,EGY,39669045,40578000,bahgen,375
1985,EGY,46170397,46473000,bahgen,0
1990,EGY,53119800,53270000,bahgen,5000
1995,EGY,55404752,59226000,bahgen,5215
2000,EGY,68446593,68470000,bahgen,0
2005,EGY,72543110,73044000,bahgen,0
2010,EGY,80912783,81277560,bahgen,0
1950,SYR,3418731,3495000,bahgen,0
1955,SYR,3938559,3967000,bahgen,0
1960,SYR,4497954,4500000,bahgen,0
1965,SYR,5057351,5325000,bahgen,0
1970,SYR,6304500,6305000,bahgen,0
1975,SYR,7331386,7380000,bahgen,0
1980,SYR,8977724,9053000,bahgen,0
1985,SYR,10173605,10267000,bahgen,0
1990,SYR,12006099,12116000,bahgen,105
1995,SYR,14178497,14186000,bahgen,0
2000,SYR,16124128,16125000,bahgen,0
2005,SYR,18133894,18138000,bahgen,0
2010,SYR,20201026,20368588,bahgen,0
1945,LEB,1144677,1156000,bahgen,0
1950,LEB,1317689,1443000,bahgen,0
1955,LEB,1527501,1613000,bahgen,0
1960,LEB,1801000,1857000,bahgen,0
1965,LEB,2073275,2151000,bahgen,0
1970,LEB,2345550,2469000,bahgen,0
1975,LEB,2506800,2767000,bahgen,700
1980,LEB,2668051,2669000,bahgen,1400
1985,LEB,2667980,2668000,bahgen,0
1990,LEB,2555000,2555000,bahgen,0
1995,LEB,3004998,3009000,bahgen,0
2000,LEB,3278670,3282000,bahgen,0
2005,LEB,4063132,4082000,bahgen,0
2010,LEB,4062137,4081000,bahgen,0
1945,JOR,1018540,1086000,bahgen,0
1950,JOR,1236990,1237000,bahgen,0
1955,JOR,1418110,1437000,bahgen,0
1960,JOR,1690000,1695000,bahgen,0
1965,JOR,1907970,1909000,bahgen,0
1970,JOR,2298990,2299000,bahgen,0
1975,JOR,2674060,2702000,bahgen,0
1980,JOR,2903060,2923000,bahgen,1000
1985,JOR,3779837,3833000,bahgen,0
1990,JOR,4257550,4259000,bahgen,11000
1995,JOR,5362978,5373000,bahgen,0
2000,JOR,6669000,6669000,bahgen,0
2005,JOR,5473000,5473000,bahgen,0
2010,JOR,6112145,6112148,bahgen,0
1950,ISR,1257081,1258000,bahgen,0
1955,ISR,1743032,1748000,bahgen,0
1960,ISR,2085156,2117000,bahgen,0
1965,ISR,2549997,2563000,bahgen,0
1970,ISR,2937197,2974000,bahgen,0
1975,ISR,3409760,3455000,bahgen,0
1980,ISR,3870899,3878000,bahgen,0
1985,ISR,4136439,4233000,bahgen,0
1990,ISR,4609358,4660000,bahgen,0
1995,ISR,5522400,5545000,bahgen,0
2000,ISR,6039299,6217000,bahgen,0
2005,ISR,6859098,6930000,bahgen,0
2010,ISR,7592699,7624494,bahgen,0
1945,SAU,2830000,2866000,bahgen,0
1950,SAU,3145000,3201000,bahgen,0
1955,SAU,3550000,3593000,bahgen,0
1960,SAU,4035000,4075000,bahgen,0
1965,SAU,4581000,4793000,bahgen,0
1970,SAU,5687550,5745000,bahgen,0
1975,SAU,7116500,7251000,bahgen,500
1980,SAU,9596000,9604000,bahgen,1000
1985,SAU,12631150,12649000,bahgen,1950
1990,SAU,14867900,14870000,bahgen,2900
1995,SAU,18252000,18255000,bahgen,0
2000,SAU,20433580,20808000,bahgen,0
2005,SAU,22669480,23119000,bahgen,0
2010,SAU,26043051,26090784,bahgen,0
1945,YAR,2939285,3096000,bahgen,0
1950,YAR,3300000,3324000,bahgen,0
1955,YAR,3512000,3646000,bahgen,0
1960,YAR,4000000,4039000,bahgen,0
1965,YAR,4416500,4492000,bahgen,0
1970,YAR,4833000,4835000,bahgen,0
1975,YAR,5315865,5316000,bahgen,150
1980,YAR,6356593,6357000,bahgen,300
1985,YAR,7610999,7621000,bahgen,0
1990,YAR,8560000,9196000,bahgen,0
1990,YEM,11225000,11279000,bahgen,0
1995,YEM,15327560,15369000,bahgen,0
2000,YEM,18118000,18118000,bahgen,0
2005,YEM,20743664,20745000,bahgen,0
2010,YEM,23369328,23605382,bahgen,0
1970,YPR,1436000,1436000,bahgen,0
1975,YPR,1674000,1674000,bahgen,0
1980,YPR,1902180,1903000,bahgen,180
1985,YPR,2116000,2164000,bahgen,0
1990,YPR,2333000,2460000,bahgen,0
1960,KUW,355857,366000,bahgen,0
1965,KUW,461640,475000,bahgen,0
1970,KUW,717120,747000,bahgen,0
1975,KUW,976790,1007000,bahgen,0
1980,KUW,1349800,1370000,bahgen,2000
1985,KUW,1683588,1720000,bahgen,0
1990,KUW,2073999,2141000,bahgen,25000
1995,KUW,1597118,1691000,bahgen,0
2000,KUW,1670480,1972000,bahgen,0
2005,KUW,2124848,2245000,bahgen,0
2010,KUW,2586320,2695568,bahgen,0
1970,BAH,212590,218000,bahgen,0
1975,BAH,262000,262000,bahgen,0
1980,BAH,322589,334000,bahgen,500
1985,BAH,367000,425000,bahgen,0
1990,BAH,476384,503000,bahgen,500
1995,BAH,576892,578000,bahgen,0
2000,BAH,613733,617000,bahgen,0
2005,BAH,883984,888824,bahgen,0
2010,BAH,1227159,1234571,bahgen,0
1970,QAT,120000,120000,bahgen,0
1975,QAT,169290,171000,bahgen,0
1980,QAT,228500,229000,bahgen,420
1985,QAT,346165,358000,bahgen,0
1990,QAT,472500,486000,bahgen,900
1995,QAT,528381,548000,bahgen,0
2000,QAT,550182,599000,bahgen,0
2005,QAT,687585,744029,bahgen,0
2010,QAT,1560939,1699435,bahgen,0
1970,UAE,419300,505000,bahgen,0
1975,UAE,463259,505000,bahgen,0
1980,UAE,963679,1015000,bahgen,1400
1985,UAE,1514692,1552000,bahgen,0
1990,UAE,1862484,1921000,bahgen,4000
1995,UAE,2279720,2314000,bahgen,0
2000,UAE,2436706,2441000,bahgen,24410
2005,UAE,3964400,3995000,bahgen,39950
2010,UAE,6210819,6236650,bahgen,62367
1970,OMA,745000,745000,bahgen,0
1975,OMA,841000,841000,bahgen,0
1980,OMA,1105740,1130000,bahgen,420
1985,OMA,1349751,1425000,bahgen,0
1990,OMA,1927345,2000000,bahgen,5500
1995,OMA,2246056,2400000,bahgen,0
2000,OMA,2534531,2553300,bahgen,0
2005,OMA,2593543,2600000,bahgen,0
2010,OMA,2883594,2979954,bahgen,0
1945,AFG,8426140,8449000,bahgen,0
1950,AFG,8942379,8958000,bahgen,0
1955,AFG,9702181,9734000,bahgen,114
1960,AFG,10630726,10775000,bahgen,228
1965,AFG,11944448,12071000,bahgen,341
1970,AFG,13621930,13623000,bahgen,455
1975,AFG,15127440,15378000,bahgen,5216
1980,AFG,17027541,17300000,bahgen,7978
1985,AFG,15375837,15519000,bahgen,9739
1990,AFG,15623669,15754000,bahgen,12500
1995,AFG,19307157,19661000,bahgen,15839
2000,AFG,22367071,22720000,bahgen,12178
2005,AFG,25687847,26000000,bahgen,10766
2010,AFG,26963103,27000000,bahgen,3000
1995,TKM,4465370,4509000,bahgen,880
2000,TKM,4415853,4459000,bahgen,870
2005,TKM,5217025,5268000,bahgen,1028
2010,TKM,5562361,5616004,bahgen,1096
1995,TAJ,5832300,5836000,bahgen,700
2000,TAJ,6128120,6188000,bahgen,0
2005,TAJ,6783500,6850000,bahgen,0
2010,TAJ,7040813,7436448,bahgen,4500
1995,KYR,4404656,4514000,bahgen,596
2000,KYR,4673510,4699000,bahgen,0
2005,KYR,4939834,5144000,bahgen,0
2010,KYR,4941533,5365372,bahgen,0
1995,UZB,22497777,22690000,bahgen,0
2000,UZB,24209429,24318000,bahgen,708
2005,UZB,26024495,26167000,bahgen,0
2010,UZB,28105556,28160570,bahgen,0
1995,KZK,16002241,16066000,bahgen,3367
2000,KZK,16187480,16223000,bahgen,0
2005,KZK,15068883,15147000,bahgen,0
2010,KZK,16293878,16315848,bahgen,0
1945,CHN,548509386,548586000,bahgen,152
1950,CHN,571834056,571889024,bahgen,208
1955,CHN,608756458,609005000,bahgen,284
1960,CHN,657218780,657491968,bahgen,359
1965,CHN,713725260,729190976,bahgen,435
1970,CHN,820592482,830675008,bahgen,510
1975,CHN,924133107,927808000,bahgen,1364
1980,CHN,992641545,998876992,bahgen,2218
1985,CHN,1067278422,1070174976,bahgen,3072
1990,CHN,1149691565,1155304960,bahgen,3926
1995,CHN,1215200120,1220224000,bahgen,4780
2000,CHN,1276049864,1277558016,bahgen,0
2005,CHN,1300233963,1303719936,bahgen,0
2010,CHN,1341577454,1345174272,bahgen,0
1945,MON,745168,754000,bahgen,0
1950,MON,765986,766000,bahgen,0
1955,MON,834563,836000,bahgen,0
1960,MON,951916,952000,bahgen,0
1965,MON,1084620,1090000,bahgen,0
1970,MON,1247994,1248000,bahgen,0
1975,MON,1412142,1446000,bahgen,0
1980,MON,1660922,1661000,bahgen,0
1985,MON,1863436,1878000,bahgen,0
1990,MON,2214258,2216000,bahgen,40
1995,MON,2335480,2347000,bahgen,46
2000,MON,2525255,2662000,bahgen,0
2005,MON,2678597,2850000,bahgen,0
2010,MON,2735938,2746016,bahgen,0
1950,TAW,7417830,7427000,bahgen,0
1955,TAW,9057186,9078000,bahgen,756
1960,TAW,10747638,10792000,bahgen,1512
1965,TAW,12599695,12628000,bahgen,2267
1970,TAW,14622433,14676000,bahgen,3023
1975,TAW,16108754,16150000,bahgen,4011
1980,TAW,17804360,17805000,bahgen,5000
1985,TAW,19167730,19258000,bahgen,7000
1990,TAW,20352470,20353000,bahgen,9000
1995,TAW,21236978,21304000,bahgen,12156
2000,TAW,21676850,21875000,bahgen,16000
2005,TAW,22611921,22770000,bahgen,16076
2010,TAW,22578298,22770000,bahgen,16654
1950,PRK,9487900,9488000,bahgen,0
1955,PRK,8847900,8848000,bahgen,0
1960,PRK,10524900,10525000,bahgen,0
1965,PRK,12060900,12061000,bahgen,0
1970,PRK,14262800,14263000,bahgen,0
1975,PRK,16300940,16301000,bahgen,0
1980,PRK,17656480,17666000,bahgen,0
1985,PRK,18941900,18942000,bahgen,0
1990,PRK,20319200,20363000,bahgen,0
1995,PRK,21913789,22097000,bahgen,0
2000,PRK,23948170,24039000,bahgen,0
2005,PRK,23670222,23760000,bahgen,0
2010,PRK,24302113,24394288,bahgen,0
1950,ROK,20343313,20357000,bahgen,1061
1955,ROK,21268570,21424000,bahgen,4383
1960,ROK,24865455,25012000,bahgen,7704
1965,ROK,28629707,28705000,bahgen,11026
1970,ROK,32165098,32241000,bahgen,14347
1975,ROK,35280763,35281000,bahgen,16173
1980,ROK,37979942,38124000,bahgen,18000
1985,ROK,40591534,40806000,bahgen,21000
1990,ROK,42679675,42869000,bahgen,23000
1995,ROK,44767820,45093000,bahgen,25000
2000,ROK,46127610,46844000,bahgen,27500
2005,ROK,47487403,48138000,bahgen,30000
2010,ROK,48214437,48875000,bahgen,30459
1945,JPN,105659957,72147000,bahgen,6369
1950,JPN,127578439,85503000,bahgen,7000
1955,JPN,134712557,89020000,bahgen,7693
1960,JPN,145918694,93216000,bahgen,8386
1965,JPN,155161247,97952000,bahgen,9079
1970,JPN,165664094,103403000,bahgen,9772
1975,JPN,179271021,111573000,bahgen,11136
1980,JPN,190641464,116807000,bahgen,12500
1985,JPN,198672736,120837000,bahgen,13450
1990,JPN,203124753,123478000,bahgen,14400
1995,JPN,207686325,125472000,bahgen,14993
2000,JPN,198519333,126714000,bahgen,12000
2005,JPN,214983033,127773000,bahgen,15844
2010,JPN,211308623,127451704,bahgen,15000
1950,IND,358205076,358292992,bahgen,408454
1955,IND,390122895,390149000,bahgen,489461
1960,IND,431718307,432703008,bahgen,570469
1965,IND,480458997,482529984,bahgen,651476
1970,IND,554901772,554910976,bahgen,732483
1975,IND,601788900,602748000,bahgen,896241
1980,IND,672012698,673388032,bahgen,1060000
1985,IND,750109739,750910976,bahgen,1230000
1990,IND,834446619,834697024,bahgen,1400000
1995,IND,915002758,915971008,bahgen,1485588
2000,IND,1028252528,1028662016,bahgen,1450000
2005,IND,1111388004,1115318016,bahgen,1567234
2010,IND,1194523484,1195000000,bahgen,1684469
1975,BHU,1158505,1159000,bahgen,225
1980,BHU,1164400,1165000,bahgen,300
1985,BHU,1443375,1451000,bahgen,400
1990,BHU,1640130,1645000,bahgen,500
1995,BHU,1757656,1770000,bahgen,358
2000,BHU,2123953,2124000,bahgen,0
2005,BHU,671884,672000,bahgen,0
2010,BHU,693989,694754,bahgen,0
1950,PAK,74523172,74620000,bahgen,7984
1955,PAK,84297949,84406000,bahgen,14162
1960,PAK,98727125,98737000,bahgen,20340
1965,PAK,112852866,113061000,bahgen,26518
1970,PAK,128723088,128724000,bahgen,32696
1975,PAK,70888516,71033000,bahgen,28848
1980,PAK,82219079,82581000,bahgen,25000
1985,PAK,96259980,96472000,bahgen,40000
1990,PAK,112267700,112404000,bahgen,55000
1995,PAK,129616689,129871000,bahgen,66855
2000,PAK,156371107,156483008,bahgen,68000
2005,PAK,153849902,153960000,bahgen,66903
2010,PAK,168326115,168446576,bahgen,73198
1975,BNG,78723371,78961000,bahgen,0
1980,BNG,88675095,88678000,bahgen,0
1985,BNG,99207750,99434000,bahgen,0
1990,BNG,109584409,109765000,bahgen,0
1995,BNG,118082864,118229000,bahgen,0
2000,BNG,128959940,129155000,bahgen,8343
2005,BNG,138410081,138600000,bahgen,8929
2010,BNG,147227803,147290688,bahgen,9515
1950,MYA,17829176,17832000,bahgen,2710
1955,MYA,19552366,19561000,bahgen,4925
1960,MYA,22346606,22355000,bahgen,7141
1965,MYA,24206336,24218000,bahgen,9356
1970,MYA,26987806,27034000,bahgen,11571
1975,MYA,30168740,30170000,bahgen,13286
1980,MYA,33619141,33637000,bahgen,15000
1985,MYA,38627660,38641000,bahgen,35000
1990,MYA,41341850,41354000,bahgen,55000
1995,MYA,45081853,45106000,bahgen,65129
2000,MYA,45531656,45611000,bahgen,55000
2005,MYA,55325422,55374000,bahgen,85000
2010,MYA,58723875,58807968,bahgen,90271
1950,SRI,7677959,7678000,bahgen,746
1955,SRI,8696085,8723000,bahgen,2231
1960,SRI,9873926,9889000,bahgen,3715
1965,SRI,11163991,11164000,bahgen,5200
1970,SRI,12515962,12516000,bahgen,6684
1975,SRI,13467067,13496000,bahgen,8192
1980,SRI,14541770,14747000,bahgen,9700
1985,SRI,15841560,15842000,bahgen,11350
1990,SRI,16981890,16993000,bahgen,13000
1995,SRI,18111564,18112000,bahgen,13513
2000,SRI,17009057,17100000,bahgen,10000
2005,SRI,19542351,19668000,bahgen,14000
2010,SRI,20514243,20590078,bahgen,0
1965,MAD,108282,109000,bahgen,19
1970,MAD,111250,121000,bahgen,21
1975,MAD,130230,131000,bahgen,23
1980,MAD,157221,158000,bahgen,25
1985,MAD,174223,184000,bahgen,37
1990,MAD,215990,216000,bahgen,50
1995,MAD,244648,254000,bahgen,79
2000,MAD,282780,286000,bahgen,0
2005,MAD,290688,294000,bahgen,0
2010,MAD,313828,317405,bahgen,0
1945,NEP,7109734,7110000,bahgen,145
1950,NEP,7861694,7862000,bahgen,382
1955,NEP,8471107,8477000,bahgen,1000
1960,NEP,9251652,9263000,bahgen,1618
1965,NEP,10210714,10211000,bahgen,2236
1970,NEP,11326866,11327000,bahgen,2854
1975,NEP,12831640,12835000,bahgen,3427
1980,NEP,14387170,14634000,bahgen,4000
1985,NEP,16253105,16324000,bahgen,4500
1990,NEP,18107030,18111000,bahgen,5000
1995,NEP,21141905,21456000,bahgen,4247
2000,NEP,23879587,23930000,bahgen,0
2005,NEP,25279227,25343000,bahgen,641
2010,NEP,26482921,26494504,bahgen,1283
1945,THI,17267434,17284000,bahgen,0
1950,THI,19630984,19635000,bahgen,0
1955,THI,22751498,22762000,bahgen,1582
1960,THI,26620456,26634000,bahgen,3164
1965,THI,30964338,31025000,bahgen,4746
1970,THI,36365637,36370000,bahgen,6328
1975,THI,41864717,41869000,bahgen,8164
1980,THI,46687660,46718000,bahgen,10000
1985,THI,51543490,51580000,bahgen,70000
1990,THI,55717390,55839000,bahgen,130000
1995,THI,59208541,59401000,bahgen,93919
2000,THI,61181217,61399000,bahgen,5000
2005,THI,64553618,64839000,bahgen,6000
2010,THI,67086798,67333472,bahgen,6300
1955,CAM,4817673,4840000,bahgen,34158
1960,CAM,5432889,5433000,bahgen,29772
1965,CAM,6139971,6141000,bahgen,25949
1970,CAM,6933840,6938000,bahgen,22618
1975,CAM,7075455,7098000,bahgen,19714
1980,CAM,6487147,6498000,bahgen,16809
1985,CAM,7397755,7422000,bahgen,13905
1990,CAM,8551720,8568000,bahgen,11000
1995,CAM,9821510,9836000,bahgen,12089
2000,CAM,11158954,11168000,bahgen,0
2005,CAM,13205926,13661000,bahgen,0
2010,CAM,15252896,15308156,bahgen,0
1955,LAO,1943682,1944000,bahgen,28
1960,LAO,2305525,2337000,bahgen,55
1965,LAO,2624588,2631000,bahgen,83
1970,LAO,2961813,2962000,bahgen,110
1975,LAO,3022078,3024000,bahgen,130
1980,LAO,3198575,3205000,bahgen,150
1985,LAO,3588398,3594000,bahgen,525
1990,LAO,4182430,4202000,bahgen,900
1995,LAO,4872778,4882000,bahgen,5258
2000,LAO,5430473,5433000,bahgen,43464
2005,LAO,5660448,5679000,bahgen,51111
2010,LAO,6136672,6140902,bahgen,52000
1955,DRV,13549900,13550000,bahgen,135500
1960,DRV,15969000,16100000,bahgen,161000
1965,DRV,18960383,19000000,bahgen,190000
1970,DRV,21034189,21150000,bahgen,200000
1975,DRV,24012651,24032000,bahgen,210000
1980,DRV,53015636,53732000,bahgen,220000
