year,name,sumrelig,pop,religions,relpop,othr,sumreligion,total
1945,FIN,3819688,3820000,sikh,0,3819688,3819688,1
1945,FIN,3819688,3820000,shnt,0,3819688,3819688,1
1945,FIN,3819688,3820000,bah,1373,3818315,3819688,1
1945,FIN,3819688,3820000,tao,0,3819688,3819688,1
1945,FIN,3819688,3820000,jain,0,3819688,3819688,1
1945,FIN,3819688,3820000,conf,0,3819688,3819688,1
1945,FIN,3819688,3820000,sync,0,3819688,3819688,1
1945,FIN,3819688,3820000,anm,0,3819688,3819688,1
1945,FIN,3819688,3820000,nonrelig,77534,3742154,3819688,1
1945,FIN,3819688,3820000,othr,312,3819376,3819688,1
1945,FRN,39698044,39700000,chrst,37239888,2458156,39698044,1
1945,FRN,39698044,39700000,jud,364863,39333181,39698044,1
1945,FRN,39698044,39700000,islm,168108,39529936,39698044,1
1945,FRN,39698044,39700000,bud,995,39697049,39698044,1
1945,FRN,39698044,39700000,zoro,0,39698044,39698044,1
1945,FRN,39698044,39700000,hind,2864,39695180,39698044,1
1945,FRN,39698044,39700000,sikh,0,39698044,39698044,1
1945,FRN,39698044,39700000,shnt,0,39698044,39698044,1
1945,FRN,39698044,39700000,bah,652,39697392,39698044,1
1945,FRN,39698044,39700000,tao,0,39698044,39698044,1
1945,FRN,39698044,39700000,jain,0,39698044,39698044,1
1945,FRN,39698044,39700000,conf,0,39698044,39698044,1
1945,FRN,39698044,39700000,sync,5657,39692387,39698044,1
1945,FRN,39698044,39700000,anm,4979,39693065,39698044,1
1945,FRN,39698044,39700000,nonrelig,1910038,37788006,39698044,1
1945,FRN,39698044,39700000,othr,1956,39696088,39698044,1
1945,GMY,88345460,89697000,chrst,86109120,2236340,88345460,1
1945,GMY,88345460,89697000,jud,442400,87903060,88345460,1
1945,GMY,88345460,89697000,islm,0,88345460,88345460,1
1945,GMY,88345460,89697000,bud,0,88345460,88345460,1
1945,GMY,88345460,89697000,zoro,0,88345460,88345460,1
1945,GMY,88345460,89697000,hind,0,88345460,88345460,1
1945,GMY,88345460,89697000,sikh,0,88345460,88345460,1
1945,GMY,88345460,89697000,shnt,0,88345460,88345460,1
1945,GMY,88345460,89697000,bah,0,88345460,88345460,1
1945,GMY,88345460,89697000,tao,0,88345460,88345460,1
1945,GMY,88345460,89697000,jain,0,88345460,88345460,1
1945,GMY,88345460,89697000,conf,0,88345460,88345460,1
1945,GMY,88345460,89697000,sync,0,88345460,88345460,1
1945,GMY,88345460,89697000,anm,0,88345460,88345460,1
1945,GMY,88345460,89697000,nonrelig,1793940,86551520,88345460,1
1945,GMY,88345460,89697000,othr,1351540,86993920,88345460,1
1945,GRC,7299942,7300000,chrst,7218442,81500,7299942,1
1945,GRC,7299942,7300000,jud,8500,7291442,7299942,1
1945,GRC,7299942,7300000,islm,73000,7226942,7299942,1
1945,GRC,7299942,7300000,bud,0,7299942,7299942,1
1945,GRC,7299942,7300000,zoro,0,7299942,7299942,1
1945,GRC,7299942,7300000,hind,0,7299942,7299942,1
1945,GRC,7299942,7300000,sikh,0,7299942,7299942,1
1945,GRC,7299942,7300000,shnt,0,7299942,7299942,1
1945,GRC,7299942,7300000,bah,0,7299942,7299942,1
1945,GRC,7299942,7300000,tao,0,7299942,7299942,1
1945,GRC,7299942,7300000,jain,0,7299942,7299942,1
1945,GRC,7299942,7300000,conf,0,7299942,7299942,1
1945,GRC,7299942,7300000,sync,0,7299942,7299942,1
1945,GRC,7299942,7300000,anm,0,7299942,7299942,1
1945,GRC,7299942,7300000,nonrelig,0,7299942,7299942,1
1945,GRC,7299942,7300000,othr,58,7299884,7299942,1
1945,GUA,2317000,2440000,chrst,2317000,0,2317000,1
1945,GUA,2317000,2440000,jud,0,2317000,2317000,1
1945,GUA,2317000,2440000,islm,0,2317000,2317000,1
1945,GUA,2317000,2440000,bud,0,2317000,2317000,1
1945,GUA,2317000,2440000,zoro,0,2317000,2317000,1
1945,GUA,2317000,2440000,hind,0,2317000,2317000,1
1945,GUA,2317000,2440000,sikh,0,2317000,2317000,1
1945,GUA,2317000,2440000,shnt,0,2317000,2317000,1
1945,GUA,2317000,2440000,bah,0,2317000,2317000,1
1945,GUA,2317000,2440000,tao,0,2317000,2317000,1
1945,GUA,2317000,2440000,jain,0,2317000,2317000,1
1945,GUA,2317000,2440000,conf,0,2317000,2317000,1
1945,GUA,2317000,2440000,sync,0,2317000,2317000,1
1945,GUA,2317000,2440000,anm,0,2317000,2317000,1
1945,GUA,2317000,2440000,nonrelig,0,2317000,2317000,1
1945,GUA,2317000,2440000,othr,123000,2194000,2317000,1
1945,HAI,4481500,3090000,chrst,2936500,1545000,4481500,1
1945,HAI,4481500,3090000,jud,0,4481500,4481500,1
1945,HAI,4481500,3090000,islm,0,4481500,4481500,1
1945,HAI,4481500,3090000,bud,0,4481500,4481500,1
1945,HAI,4481500,3090000,zoro,0,4481500,4481500,1
1945,HAI,4481500,3090000,hind,0,4481500,4481500,1
1945,HAI,4481500,3090000,sikh,0,4481500,4481500,1
1945,HAI,4481500,3090000,shnt,0,4481500,4481500,1
1945,HAI,4481500,3090000,bah,0,4481500,4481500,1
1945,HAI,4481500,3090000,tao,0,4481500,4481500,1
1945,HAI,4481500,3090000,jain,0,4481500,4481500,1
1945,HAI,4481500,3090000,conf,0,4481500,4481500,1
1945,HAI,4481500,3090000,sync,1545000,2936500,4481500,1
1945,HAI,4481500,3090000,anm,0,4481500,4481500,1
1945,HAI,4481500,3090000,nonrelig,0,4481500,4481500,1
1945,HAI,4481500,3090000,othr,0,4481500,4481500,1
1945,HON,1197574,1260000,chrst,1197574,0,1197574,1
1945,HON,1197574,1260000,jud,0,1197574,1197574,1
1945,HON,1197574,1260000,islm,0,1197574,1197574,1
1945,HON,1197574,1260000,bud,0,1197574,1197574,1
1945,HON,1197574,1260000,zoro,0,1197574,1197574,1
1945,HON,1197574,1260000,hind,0,1197574,1197574,1
1945,HON,1197574,1260000,sikh,0,1197574,1197574,1
1945,HON,1197574,1260000,shnt,0,1197574,1197574,1
1945,HON,1197574,1260000,bah,0,1197574,1197574,1
1945,HON,1197574,1260000,tao,0,1197574,1197574,1
1945,HON,1197574,1260000,jain,0,1197574,1197574,1
1945,HON,1197574,1260000,conf,0,1197574,1197574,1
1945,HON,1197574,1260000,sync,0,1197574,1197574,1
1945,HON,1197574,1260000,anm,0,1197574,1197574,1
1945,HON,1197574,1260000,nonrelig,0,1197574,1197574,1
1945,HON,1197574,1260000,othr,62426,1135148,1197574,1
1945,HUN,8985500,9024000,chrst,8107212,878288,8985500,1
1945,HUN,8985500,9024000,jud,153470,8832030,8985500,1
1945,HUN,8985500,9024000,islm,0,8985500,8985500,1
1945,HUN,8985500,9024000,bud,0,8985500,8985500,1
1945,HUN,8985500,9024000,zoro,0,8985500,8985500,1
1945,HUN,8985500,9024000,hind,0,8985500,8985500,1
1945,HUN,8985500,9024000,sikh,0,8985500,8985500,1
1945,HUN,8985500,9024000,shnt,0,8985500,8985500,1
1945,HUN,8985500,9024000,bah,0,8985500,8985500,1
1945,HUN,8985500,9024000,tao,0,8985500,8985500,1
1945,HUN,8985500,9024000,jain,0,8985500,8985500,1
1945,HUN,8985500,9024000,conf,0,8985500,8985500,1
1945,HUN,8985500,9024000,sync,0,8985500,8985500,1
1945,HUN,8985500,9024000,anm,0,8985500,8985500,1
1945,HUN,8985500,9024000,nonrelig,724818,8260682,8985500,1
1945,HUN,8985500,9024000,othr,38500,8947000,8985500,1
1945,ICE,128897,129000,chrst,126571,2326,128897,1
1945,ICE,128897,129000,jud,0,128897,128897,1
1945,ICE,128897,129000,islm,0,128897,128897,1
1945,ICE,128897,129000,bud,0,128897,128897,1
1945,ICE,128897,129000,zoro,0,128897,128897,1
1945,ICE,128897,129000,hind,0,128897,128897,1
1945,ICE,128897,129000,sikh,0,128897,128897,1
1945,ICE,128897,129000,shnt,0,128897,128897,1
1945,ICE,128897,129000,bah,0,128897,128897,1
